C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:33:20

sptypes = 'A'
-------------

Number of objects : 11389

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
812  |HD 22032                           |a2*|03 33 11.6391237146 +04 40 13.289831694|     ~| 9.48 | 9.05 |     ~|     ~|ApSrEuCr       |   7|   0
813  |HD 21799                           |*  |03 30 44.4911399150 -01 59 46.337624429|     ~| 9.69 | 9.28 |     ~|     ~|ApSrCrEu       |   6|   0
814  |BPS CS 22172-0027                  |*  |03 29 15.5533089033 -10 49 16.697153056|13.53 |13.59 |13.23 |13.21 |     ~|A              |   3|   0
815  |BPS CS 22172-0028                  |HB*|03 30 05.5418670066 -10 38 10.205487457|14.30 |14.25 |13.95 |     ~|     ~|A              |   4|   0
816  |PHL 1529                           |HB*|03 25 33.5278403990 -12 45 32.259636119|     ~|15.85 |15.72 |16.01 |     ~|A              |   1|   0
817  |BPS CS 22185-0032                  |HB*|03 31 53.4239397582 -14 04 21.204285376|     ~|14.62 |14.19 |14.07 |     ~|A              |   1|   0
818  |HD 275481                          |EB*|03 34 43.7348959274 +38 40 22.203172227|     ~|11.49 |11.18 |11.020|     ~|A              |   3|   0
819  |HD 275824                          |*  |03 44 50.4333932730 +38 24 47.659301644|     ~|11.84 |11.69 |     ~|     ~|A              |   2|   0
820  |HD 278947                          |*  |03 43 47.2300181882 +36 38 48.159844914|     ~|12.16 |11.72 |     ~|     ~|A              |   1|   0
821  |HD 278917                          |*  |03 43 09.3625927337 +34 49 12.379455303|     ~|10.85 |10.58 |     ~|     ~|A              |   6|   0
822  |HD 278922                          |*  |03 42 13.8818822317 +34 17 24.392879974|     ~|12.37 |11.72 |     ~|     ~|A              |   0|   0
823  |HD 22765                           |*  |03 40 40.2875468384 +29 27 16.758773870|     ~| 9.54 | 9.28 |     ~|     ~|A              |   6|   0
824  |HD 22538                           |*  |03 38 10.9368681834 +19 21 37.492941537|     ~| 8.09 | 7.69 |     ~|     ~|Am             |  18|   0
825  |HD 22378                           |*  |03 36 02.6750658269 -02 21 42.822483170|     ~| 9.28 | 9.33 |     ~|     ~|ApSi           |   6|   0
826  |HD 23393                           |*  |03 44 29.3767085126 -12 03 31.096631726|     ~| 8.62 | 8.30 |     ~|     ~|ApSrCrEu       |  31|   0
827  |BPS CS 22185-0029                  |HB*|03 34 30.3348166393 -14 29 15.840256008|     ~|     ~|13.5  |     ~|     ~|A              |   1|   0
828  |HD 23207                           |PM*|03 42 44.5605228671 -18 42 49.676433504|     ~| 7.79 | 7.54 |     ~|     ~|ApSrEuCr       |  29|   0
829  |HD 23329                           |*  |03 43 23.7910457511 -26 21 17.183146058|     ~|10.098| 9.85 |     ~|     ~|A(pEuCrSr)     |   7|   0
830  |HD 278943                          |*  |03 46 38.8529141163 +36 57 16.541189223|     ~|11.7  |11.2  |     ~|     ~|A              |   4|   0
831  |HD 279160                          |*  |03 54 47.5226164983 +35 43 47.411498702|     ~|12.27 |11.56 |     ~|     ~|A              |   2|   0
832  |HD 279027                          |*  |03 50 27.0293097182 +35 05 38.560632027|     ~|11.98 |11.33 |     ~|     ~|A              |   2|   0
833  |HD 278992                          |*  |03 45 31.1740892450 +33 30 06.587815792|     ~|11.89 |11.41 |     ~|     ~|A              |   1|   0
834  |HD 278993                          |*  |03 47 09.3033140364 +33 28 27.943265193|     ~|12.25 |12.12 |     ~|     ~|A              |   1|   0
835  |HD 279114                          |*  |03 53 12.0334312179 +34 13 06.896212711|     ~|12.14 |11.49 |     ~|     ~|A              |   1|   0
836  |HD 23963                           |*  |03 50 29.2347571735 +32 25 52.627488982|     ~| 9.71 | 9.55 |     ~|     ~|A              |  12|   0
837  |HD 278981                          |*  |03 45 17.0282670890 +34 15 52.543760806|     ~|11.95 |11.23 |     ~|     ~|A              |   1|   0
838  |HD 281178                          |*  |03 46 34.2825071558 +30 24 42.282138529|     ~|11.93 |11.37 |     ~|     ~|A              |   1|   0
839  |HD 23374                           |*  |03 45 40.7222472094 +25 51 18.487393719|     ~|10.26 | 9.83 |     ~|     ~|A              |   1|   0
840  |HD 282968                          |*  |03 46 59.6121655953 +24 23 03.833304121|     ~|11.17 |     ~|     ~|     ~|A              |   5|   0
841  |HD 283140                          |*  |03 56 01.4975353679 +25 28 13.371441223|     ~|11.49 |11.09 |     ~|     ~|A              |   1|   0
842  |HD 24312                           |*  |03 52 40.3017949864 +15 58 29.022073631| 9.684| 9.52 | 9.17 |     ~|     ~|A              |   4|   0
843  |BPS CS 22190-0032                  |HB*|03 46 52.7118528845 -12 40 49.931014953|     ~|14.43 |13.97 |14.04 |     ~|A              |   1|   0
844  |HD 24786                           |*  |03 55 36.7474088514 -21 50 07.869255651|     ~| 9.80 | 9.69 |     ~|     ~|ApCrEuSr       |   8|   0
845  |HD 23715                           |*  |03 46 30.6284090501 -24 02 59.860117618|     ~| 9.75 | 9.53 |     ~|     ~|ApSrEuCr       |   6|   0
846  |HD 24825                           |*  |03 55 15.5402124096 -38 45 33.280200865|     ~| 6.77 | 6.81 |     ~|     ~|ApCrEu(Sr)     |  17|   0
847  |HD 276031                          |*  |04 03 24.7601630546 +39 04 01.052188247|     ~|11.71 |11.13 |     ~|     ~|A              |   1|   0
848  |HD 276059                          |*  |04 07 18.5620955758 +39 53 13.435947570|     ~|11.13 |10.53 |     ~|     ~|A              |   1|   0
849  |HD 279214                          |*  |03 59 27.0097111592 +37 27 47.652051107|     ~|11.66 |11.12 |     ~|     ~|A              |   2|   0
850  |HD 279146                          |*  |03 57 37.2210983459 +36 28 51.138551164|     ~|10.54 |10.27 |     ~|     ~|A              |   2|   0
851  |HD 279164                          |*  |03 56 16.2597152575 +35 25 29.339082200|     ~|     ~|12.8  |     ~|     ~|A              |   2|   0
852  |HD 279226                          |*  |03 59 00.6829614249 +36 23 18.120398266|13.72 |11.68 |11.45 |     ~|     ~|A              |   3|   0
853  |HD 279335                          |*  |04 03 49.2920278165 +37 04 57.515826683|     ~|11.86 |11.46 |     ~|     ~|A              |   2|   0
854  |HD 279339                          |*  |04 04 43.5946694046 +36 52 07.033497581|     ~|12.05 |11.58 |     ~|     ~|A              |   2|   0
855  |HD 279346                          |*  |04 05 16.9747029973 +36 36 20.051048827|     ~|11.75 |11.25 |     ~|     ~|A              |   2|   0
856  |HD 279285                          |*  |04 01 26.9247726203 +36 24 53.162096000|     ~|11.91 |11.82 |     ~|     ~|A              |   2|   0
857  |HD 279430                          |*  |04 07 20.2210432556 +36 47 02.796180348|     ~|11.54 |11.08 |     ~|     ~|A              |   2|   0
858  |HD 279248                          |*  |03 59 52.6986436980 +35 13 34.034043559|     ~|11.56 |11.51 |     ~|     ~|A              |   2|   0
859  |HD 279391                          |*  |04 04 27.1590259109 +34 47 23.033566282|     ~|12.02 |12.09 |     ~|     ~|A              |   2|   0
860  |HD 279406                          |*  |04 06 31.07 +34 08 12.2                |     ~|10    |     ~|     ~|     ~|A              |   1|   0
861  |HD 281450                          |*  |04 03 21.0139360851 +33 53 23.002300217|     ~|12.04 |11.98 |     ~|     ~|A              |   1|   0
862  |* 41 Tau                           |a2*|04 06 36.4111881917 +27 35 59.639429440|     ~| 5.041| 5.172|     ~|     ~|Ap             | 224|   0
863  |HD 25111                           |*  |04 00 13.0650610406 +23 08 56.649781764|     ~| 9.69 | 9.63 |     ~|     ~|A              |   3|   0
864  |HD 284131                          |*  |04 06 02.3470267085 +23 09 32.674080798|     ~|11.84 |11.31 |     ~|     ~|A              |   2|   0
865  |HD 24721                           |*  |03 56 39.7600412123 +22 02 35.888663913|     ~|10.21 | 9.92 |     ~|     ~|A              |   1|   0
866  |HD 24761                           |*  |03 56 52.7291050297 +20 05 01.051607068| 9.370| 9.110| 8.790|     ~| 8.403|A              |   9|   0
867  |HD 25163                           |*  |03 59 50.4811794217 -04 31 19.750175947|     ~| 8.75 | 8.56 |     ~|     ~|ApSr(EuCr)     |  11|   0
868  |HD 25258                           |*  |04 00 38.9637463679 -04 05 49.618111835|     ~|10.60 |10.36 |     ~|     ~|A(pSrEu)       |   6|   0
869  |BPS CS 22173-0009                  |*  |03 58 23.4114661093 -18 00 01.718480613|13.67 |13.73 |13.39 |     ~|     ~|A              |   3|   0
870  |BPS CS 30494-0010                  |HB*|03 57 00.2114644677 -17 28 41.988524648|     ~|13.22 |12.95 |13.04 |     ~|A              |   1|   0
871  |BPS CS 30494-0022                  |HB*|04 04 07.0992904818 -19 00 03.387408233|     ~|     ~|14.4  |     ~|     ~|A              |   1|   0
872  |BPS CS 30494-0034                  |HB*|04 07 28.5923910395 -18 24 13.737523904|     ~|     ~|14.4  |     ~|     ~|A              |   1|   0
873  |BPS CS 30494-0036                  |HB*|04 06 12.8880410867 -18 15 19.201457238|     ~|     ~|14.8  |     ~|     ~|A              |   1|   0
874  |BPS CS 22173-0024                  |HB*|04 06 19.1228168573 -19 27 47.668048159|     ~|     ~|13.4  |     ~|     ~|A              |   1|   0
875  |BPS CS 30494-0002                  |HB*|03 56 46.6240405356 -21 25 26.176731588|     ~|13.23 |12.34 |     ~|     ~|A              |   1|   0
876  |BPS CS 30494-0029                  |HB*|04 06 43.4906725057 -22 01 31.190906005|     ~|     ~|13.2  |     ~|     ~|A              |   1|   0
877  |BPS CS 22173-0001                  |HB*|04 00 19.2600050031 -21 38 34.723984485|     ~|13.94 |13.55 |13.64 |     ~|A              |   1|   0
878  |* tau09 Eri                        |a2*|03 59 55.4831332806 -24 00 58.361909354| 4.11 | 4.52 | 4.66 | 4.64 | 4.77 |ApSi           | 155|   0
879  |TYC 2886-612-1                     |*  |04 17 01.8833681486 +41 44 22.059440717|     ~|12.35 |12.23 |     ~|     ~|A              |   0|   0
880  |HD 276190                          |*  |04 16 04.6218434581 +40 45 31.628589499|     ~|11.61 |11.11 |     ~|     ~|A              |   1|   0
881  |HD 276130                          |*  |04 15 44.0878301165 +41 11 54.614315749|     ~|11.57 |11.17 |     ~|     ~|A              |   1|   0
882  |HD 276194                          |*  |04 17 06.4328230987 +40 42 24.777876009|     ~|11.53 |10.96 |     ~|     ~|A              |   1|   0
883  |HD 279416                          |*  |04 10 10.8941758572 +38 01 27.384485575|     ~|12.02 |11.45 |     ~|     ~|A              |   1|   0
884  |HD 279639                          |*  |04 18 03.3706448643 +38 57 46.820163176|     ~|11.60 |11.06 |     ~|     ~|A              |   2|   0
885  |HD 279492                          |*  |04 11 40.8573912278 +36 57 38.492234588|     ~|10    |     ~|     ~|     ~|A              |   1|   0
886  |HD 279501                          |*  |04 11 07.1967254571 +36 29 33.976037174|     ~|11.8  |11.6  |     ~|     ~|A              |   2|   0
887  |HD 279506                          |*  |04 11 11.0546577228 +36 14 18.616794086|     ~|11.82 |11.30 |     ~|     ~|A              |   2|   0
888  |HD 279449                          |*  |04 08 57.7768954596 +35 23 36.101213079|     ~|12.05 |11.90 |     ~|     ~|A              |   2|   0
889  |HD 279597                          |*  |04 14 37.5178410787 +36 04 53.693401108|     ~|11.96 |11.46 |     ~|     ~|A              |   1|   0
890  |HD 281555                          |*  |04 07 54.1582490150 +32 21 52.647673013|     ~|10.28 |10.26 |     ~|     ~|A              |   1|   0
891  |HD 281835                          |*  |04 18 15.0215169942 +33 42 26.411013994|     ~|12.62 |11.46 |     ~|     ~|A              |   1|   0
892  |HD 281746                          |*  |04 14 45.0532427004 +32 33 44.891714281|     ~|12.17 |11.76 |     ~|     ~|A              |   2|   0
893  |HD 281725                          |*  |04 14 23.5232107044 +33 11 12.345447277|     ~|10.97 |10.42 |10.25 |     ~|A              |   3|   0
894  |HD 281756                          |*  |04 13 30.5860555374 +32 06 09.605432574|     ~|11.71 |11.74 |     ~|     ~|A              |   2|   0
895  |HD 283449                          |*  |04 12 26.8590 +27 52 36.526            |     ~|12.23 |12.30 |     ~|     ~|A              |   3|   0
896  |HD 283534                          |*  |04 15 48.1519267711 +26 34 00.877340764|     ~|11.72 |11.56 |     ~|     ~|A              |   1|   0
897  |HD 284156                          |*  |04 08 56.2155837829 +23 48 05.677183992|     ~|11.81 |11.54 |     ~|     ~|A              |   2|   0
898  |HD 284182                          |*  |04 09 51.9036819976 +22 51 44.609538452|     ~|11.93 |11.62 |     ~|     ~|A              |   2|   0
899  |HD 283510                          |*  |04 12 30.5409583077 +24 37 27.120875316|     ~|10    |     ~|     ~|     ~|A              |   2|   0
900  |HD 26910                           |*  |04 16 01.0620503217 +22 58 02.520321123|     ~| 9.05 | 8.88 |     ~|     ~|A              |   4|   0
901  |HD 284192                          |*  |04 11 41.4289908894 +22 24 40.729719412|     ~|12.07 |11.23 |     ~|     ~|A              |   2|   0
902  |HD 284264                          |*  |04 13 32.0161245389 +20 35 19.129576535|     ~|12.13 |11.52 |     ~|     ~|A              |   1|   0
903  |HD 286617                          |*  |04 11 12.4332312939 +11 36 45.064031993|     ~|10    |     ~|     ~|     ~|A              |   1|   0
904  |HD 26400                           |*  |04 10 45.7815012093 +07 17 17.164083313|     ~| 9.71 | 9.54 |     ~|     ~|A              |   2|   0
905  |HD 26650                           |*  |04 12 32.5969303874 -10 33 57.865883405|     ~| 8.76 | 8.43 |     ~|     ~|ApSrCr         |  14|   0
906  |BPS CS 22169-0031                  |HB*|04 15 14.4658629821 -13 38 44.868949024|     ~|     ~|13.2  |     ~|     ~|A              |   3|   0
907  |BPS CS 22173-0017                  |HB*|04 08 27.3131125741 -17 01 43.075175001|     ~|12.93 |12.68 |     ~|     ~|A              |   3|   0
908  |BPS CS 30494-0048                  |HB*|04 09 29.4570418536 -19 23 58.777536742|     ~|13.76 |13.32 |13.30 |     ~|A              |   1|   0
909  |HD 27285                           |*  |04 17 48.1511249807 -19 52 59.387039043|     ~| 9.99 | 9.73 |     ~|     ~|ApEuSrCr       |  13|   0
910  |BPS CS 22173-0036                  |HB*|04 13 56.9153413373 -17 58 38.666229327|     ~|13.81 |13.59 |     ~|     ~|A              |   3|   0
911  |BPS CS 30494-0044                  |HB*|04 11 29.5191749627 -18 13 26.491263582|     ~|     ~|13.2  |     ~|     ~|A              |   1|   0
912  |BPS CS 30494-0046                  |HB*|04 13 22.4709638879 -18 41 41.245583924|     ~|     ~|14.4  |     ~|     ~|A              |   1|   0
913  |BPS CS 30494-0047                  |HB*|04 10 40.141 -18 50 52.54              |     ~|13.84 |13.44 |13.55 |     ~|A              |   1|   0
914  |BPS CS 30494-0031                  |HB*|04 07 52.1751345312 -20 21 04.074122861|     ~|13.14 |12.8  |12.76 |     ~|A              |   3|   0
915  |BPS CS 30494-0055                  |HB*|04 17 45.9728299960 -21 15 47.680948601|     ~|12.57 |12.36 |     ~|     ~|A              |   1|   0
916  |BPS CS 22177-0005                  |HB*|04 08 03.7880303754 -22 51 59.551401368|     ~|     ~|14.4  |     ~|     ~|A              |   2|   0
917  |HD 26726                           |a2*|04 12 46.6383586304 -24 47 48.555714513|     ~|10.14 | 9.85 |     ~|     ~|ApSr           |   8|   0
918  |BPS CS 22177-0018                  |HB*|04 14 30.6926769151 -25 20 45.446998623|     ~|     ~|15.0  |     ~|     ~|A              |   2|   0
