C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:40:58

sptypes = 'M'
-------------

Number of objects : 3876

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
695 |2MASSs J0256598+200215             |*  |02 56 59.85 +20 02 15.7                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
696 |2MASSs J0257159+202616             |*  |02 57 15.94 +20 26 16.7                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
697 |GSC 01227-00224                    |*  |02 57 21.4930821720 +19 47 30.628887022|     ~|     ~|12.4  |     ~|     ~|M              |   3|   0
698 |2MASSs J0257299+204308             |*  |02 57 29.94 +20 43 08.9                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
699 |2MASSs J0257391+193107             |*  |02 57 39.11 +19 31 07.3                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
700 |2MASSs J0257460+200055             |*  |02 57 46.05 +20 00 55.7                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
701 |2MASSs J0257474+192609             |*  |02 57 47.43 +19 26 09.3                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
702 |2MASSs J0257536+194325             |*  |02 57 53.60 +19 43 25.2                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
703 |2MASSs J0257540+202724             |*  |02 57 54.09 +20 27 24.7                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
704 |2MASSs J0257597+200343             |*  |02 57 59.72 +20 03 43.5                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
705 |2MASSs J0258046+193146             |*  |02 58 04.69 +19 31 46.9                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
706 |2MASSs J0258257+200824             |*  |02 58 25.78 +20 08 24.9                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
707 |2MASSs J0258458+201114             |*  |02 58 45.81 +20 11 15.0                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
708 |2MASSs J0259057+202309             |*  |02 59 05.71 +20 23 09.5                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
709 |GSC 01230-00873                    |*  |02 59 13.4243877901 +20 34 52.575593370|     ~|13.81 |12.36 |12.13 |     ~|M              |   2|   0
710 |2MASSs J0252368+193424             |*  |02 52 36.80 +19 34 24.2                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
711 |2MASSs J0252486+203908             |*  |02 52 48.63 +20 39 08.6                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
712 |2MASSs J0253030+194904             |*  |02 53 03.00 +19 49 04.3                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
713 |LP 411-16                          |PM*|02 53 03.1116860668 +19 29 07.448455594|     ~|17.8  |     ~|15.4  |     ~|M              |   4|   0
714 |2MASSs J0253099+203849             |*  |02 53 09.92 +20 38 49.2                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
715 |2MASSs J0253243+200659             |*  |02 53 24.37 +20 06 59.5                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
716 |2MASSs J0254038+193136             |*  |02 54 03.87 +19 31 36.2                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
717 |2MASSs J0255083+193859             |*  |02 55 08.31 +19 38 59.2                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
718 |2MASSs J0255350+200648             |*  |02 55 35.02 +20 06 48.7                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
719 |2MASSs J0257501+195830             |*  |02 57 50.17 +19 58 30.1                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
720 |2MASSs J0257585+202208             |*  |02 57 58.56 +20 22 08.0                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
721 |2MASSs J0258110+192908             |*  |02 58 11.03 +19 29 08.0                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
722 |LP 411-29                          |PM*|02 58 14.6402724209 +20 22 48.977506295|     ~|16.9  |     ~|14.7  |     ~|M              |   5|   0
723 |2MASSs J0258343+200023             |*  |02 58 34.32 +20 00 23.6                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
724 |LP 411-33                          |PM*|02 59 12.9888736416 +20 05 49.485747139|     ~|17.1  |     ~|14.4  |     ~|M              |   3|   0
725 |2MASSs J0252490+195252             |*  |02 52 49.09 +19 52 52.4                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
726 |2MASSs J0255056+194454             |*  |02 55 05.61 +19 44 53.3                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
727 |2MASSs J0255372+204311             |*  |02 55 37.26 +20 43 11.2                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
728 |2MASSs J0255452+192526             |*  |02 55 45.24 +19 25 26.1                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
729 |2MASSs J0258523+195840             |*  |02 58 52.39 +19 58 40.0                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
730 |LP 411-31                          |PM*|02 58 34.4931533100 +19 46 50.403383656|     ~|20.5  |     ~|17.4  |     ~|M              |   6|   0
731 |GSC 01227-00386                    |PM*|02 55 21.5211244099 +19 46 14.883098221|     ~|     ~|14.332|     ~|     ~|M              |   2|   0
732 |GSC 01227-00521                    |*  |02 55 23.1112621618 +19 41 45.114501346|     ~|     ~|13.706|     ~|     ~|M              |   2|   0
733 |GSC 01230-00700                    |*  |02 55 38.6397380615 +20 24 43.689716525|     ~|     ~|13.983|     ~|     ~|M              |   2|   0
734 |GSC 01227-00090                    |*  |02 57 43.9235549230 +19 33 36.756207606|     ~|     ~|13.395|     ~|     ~|M              |   2|   0
735 |TYC 2291-1627-1                    |EB*|01 13 51.3287044639 +31 49 10.126092759|     ~|10.61 |10.11 |     ~|     ~|M              |  12|   0
736 |[COC99] 14                         |*  |01 16 23.367 +33 23 26.00              |     ~|     ~|22.03 |     ~|     ~|M              |   3|   0
737 |HD 335473                          |*  |21 01 47.0389540974 +29 26 41.002066010|     ~|11.62 |10.19 | 9.2  |     ~|M              |   4|   0
738 |V* V2170 Cyg                       |LP*|21 42 22.7273119189 +34 04 08.570680562|     ~|10.05 | 8.47 |     ~|     ~|Ma             |   4|   0
739 |TYC 3215-1948-1                    |*  |22 58 02.6657538517 +38 11 08.143973194|     ~|13.10 |11.77 |     ~|     ~|M              |   2|   0
740 |TYC 2784-1363-1                    |*  |00 38 06.2255451319 +37 35 21.100504522|     ~|11.78 |10.37 |     ~|     ~|M              |   1|   0
741 |TYC 3199-2691-1                    |*  |22 10 14.9382025499 +38 09 37.398292375|     ~|11.91 |11.87 |     ~|     ~|M              |   0|   0
742 |BD+37 4704                         |*  |22 50 50.4498295415 +38 09 53.326655735|     ~|12.89 |10.26 |     ~|     ~|M              |   0|   0
743 |1E 0100+40.6                       |*  |01 03 42.9 +40 52 46                   |     ~|     ~|     ~|     ~|     ~|M              |   3|   0
744 |V* V1058 Cyg                       |LP*|21 02 14.5382843934 +34 46 32.825440325|     ~| 9.87 | 8.48 |     ~|     ~|Mb             |   3|   0
745 |V* V2158 Cyg                       |LP*|21 26 17.6031838140 +35 50 21.307048795|10.900| 9.390| 7.800|     ~|     ~|Ma             |   7|   0
746 |V* V2171 Cyg                       |LP*|21 46 46.3825603706 +37 39 28.756806162|     ~| 9.00 | 7.26 |     ~|     ~|Ma             |   8|   0
747 |BD+39 4811                         |*  |22 20 39.4399861396 +40 12 06.186818853|     ~|12.00 |10.46 | 9.8  |     ~|M              |   2|   0
748 |BD+35 482                          |*  |02 29 09.1615388874 +36 38 56.923299983|     ~|11.88 |10.32 |16.4  |     ~|M              |   2|   0
749 |V* GG Cnc                          |LP?|09 00 25.8680395369 +24 29 47.468262883|11.740| 9.880| 8.270|     ~|     ~|Ma             |   7|   0
750 |V* GK Cnc                          |LP?|09 07 30.3740351193 +16 36 36.471909432|     ~|10.65 | 9.15 |     ~|     ~|Ma             |   9|   0
751 |LP 546-51                          |PM*|09 05 00.2966161378 +02 26 13.837591975|     ~|     ~|     ~|13.44 |     ~|M              |   6|   0
752 |V* VV Hya                          |Mi*|09 11 14.5049871200 -09 22 05.306477755|     ~|     ~|     ~|     ~|     ~|Me             |  12|   0
753 |V* BW Pyx                          |LP?|09 06 53.8529233825 -24 40 04.476112185|     ~|11.42 | 9.71 |     ~|     ~|M              |   2|   0
754 |CLS 11A                            |PM*|09 16 32.9658835155 +30 20 40.294661274|     ~|     ~|     ~|15.0  |     ~|M              |   2|   0
755 |CLS 11B                            |PM*|09 16 33.3281191190 +30 20 40.973656655|     ~|     ~|     ~|15.5  |     ~|M              |   1|   0
756 |CLS 12                             |PM*|09 18 06.4238541350 +29 03 58.556679257|     ~|15.6  |     ~|13.0  |     ~|M              |   3|   1
757 |CD-35 5556                         |*  |09 18 19.4569732135 -36 19 24.380040751|     ~|11.07 | 9.44 |     ~|     ~|M              |   1|   0
758 |V* TW Leo                          |Mi*|09 25 17.0607329955 +29 58 47.501331344|     ~|     ~|11.98 |     ~|     ~|Me             |   5|   0
759 |V* ZZ Ant                          |Mi*|09 28 58.7283608289 -34 21 28.139222353|     ~|13.28 |12.13 |     ~|     ~|Me             |   4|   0
760 |V* Z LMi                           |LP*|09 40 15.1538289874 +36 06 18.655679512|     ~|12.69 |11.24 |10.539|     ~|M              |   6|   0
761 |CLS 15A                            |*  |09 44 28.1498103013 +32 55 23.796517689|     ~|17.5  |     ~|16.0  |     ~|M              |   1|   0
762 |BD+05 2194                         |*  |09 34 08.274 +04 56 20.54              |     ~|12.15 |10.63 |     ~|     ~|M              |   0|   0
763 |BD-22 2690                         |*  |09 42 34.5104512343 -22 53 08.085136763|     ~|11.62 | 9.96 |     ~|     ~|M              |   0|   0
764 |CD-25 7381                         |*  |09 39 27.5750496374 -25 49 35.977488012|     ~|11.78 |10.27 |     ~|     ~|M              |   0|   0
765 |CLS 17                             |*  |09 51 42.8922811956 +34 14 49.856334694|     ~|18.3  |     ~|17.0  |     ~|M              |   1|   0
766 |CLS 18                             |*  |09 51 43.7017524898 +34 12 12.415352941|     ~|18.0  |     ~|16.0  |     ~|M              |   1|   0
767 |CLS 19                             |*  |09 51 44.6202774929 +34 09 25.933338299|     ~|18.0  |     ~|17.0  |     ~|M              |   1|   0
768 |IRAS 09475+0838                    |RG*|09 50 14.7001452298 +08 23 56.453191208|     ~|12.55 |10.26 |     ~|     ~|M              |   4|   0
769 |BD+07 2176                         |*  |09 45 07.3425402207 +06 29 49.842772555|     ~|11.78 |10.40 |     ~|     ~|M              |   0|   0
770 |BD-22 2718                         |*  |09 47 40.7352333649 -23 20 14.979363879|     ~|11.331| 9.980|     ~|     ~|M              |   1|   0
771 |BD-22 2726                         |*  |09 48 38.1973895814 -23 02 40.502069441|     ~|11.30 |10.17 |     ~|     ~|M              |   0|   0
772 |[FS2003] 0539                      |Ro*|10 01 14.4149746693 -23 53 38.326009389|     ~|     ~|11.915|     ~|10.305|M              |   3|   0
773 |V* AA Ant                          |Mi*|10 06 01.3187930172 -31 23 02.938873491|     ~|     ~|11.74 |     ~|     ~|Me             |   4|   0
774 |V* FS Hya                          |LP*|10 07 37.7766127739 -16 41 10.980450856|     ~|11.37 | 9.87 |     ~|     ~|M              |   3|   0
775 |BD-16 3015                         |*  |10 18 39.5896864390 -17 32 33.590078838|     ~|10.86 | 9.32 |     ~|     ~|M              |   6|   0
776 |V* V437 Hya                        |LP*|10 15 53.2633102064 -26 29 06.405350332|     ~|11.14 | 9.86 |     ~|     ~|M              |   6|   0
777 |V* GQ Vel                          |Mi*|10 14 55.4487509816 -41 39 22.601148662|     ~|13.01 |11.58 |     ~|     ~|Me             |   4|   0
778 |CLS 25                             |*  |10 22 21.1696008035 +34 49 52.058210527|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
779 |CLS 27                             |mul|10 29 10.687272 +35 40 51.83400        |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
780 |V* X Sex                           |LP?|10 23 30.9034012003 -07 05 16.916069940|     ~|12.52 |10.91 |     ~|     ~|M              |   4|   0
781 |V* PV Hya                          |LP*|10 28 36.4073910895 -26 35 58.481669744|     ~|11.08 | 9.55 |     ~|     ~|M              |   7|   0
782 |V* AC Ant                          |Mi*|10 21 32.7398746491 -34 39 32.339657690|     ~|     ~|10.82 |     ~|     ~|Me             |   7|   0
783 |CLS 28                             |PM*|10 36 37.7387065808 +36 51 35.104443830|     ~|16.76 |15.28 |14.75 |     ~|M              |   1|   0
784 |[AUO2003] J104027.50+204602.8      |*  |10 40 27.50 +20 46 02.8                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
785 |2MASS J10374141-1210479            |RG*|10 37 41.4092059416 -12 10 47.838588453|     ~|12.521|10.871| 9.91 | 9.146|M              |   3|   0
786 |V* AD Ant                          |Mi*|10 30 10.4788090763 -37 18 51.106176240|     ~|     ~|     ~|     ~|     ~|Me             |   6|   0
787 |V* PZ Hya                          |LP?|10 44 48.9120395715 -24 04 55.677077125|     ~|11.66 |10.41 |     ~|     ~|M              |   8|   0
788 |V* RS Hya                          |Mi*|10 51 19.0370081726 -28 37 40.496765784|     ~|     ~|12    |     ~|     ~|Me             |  25|   0
789 |V* CC UMa                          |LP*|10 53 40.5872501383 +42 28 12.728833306|     ~|12.21 |10.61 |     ~|     ~|M              |   4|   0
790 |CLS 32                             |*  |10 57 51.6061421744 +35 45 34.638457387|     ~|     ~|     ~|16.00 |     ~|M              |   1|   0
791 |CLS 33A                            |*  |11 01 29.2346813176 +31 18 40.645857363|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
792 |CLS 33B                            |*  |11 01 29.6546258105 +31 18 42.696264633|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
793 |HD 94336                           |V* |10 53 34.8409373688 +26 12 27.962881896|10.420| 8.630| 7.060|     ~|     ~|MIII           |  27|   0
794 |FBS 1058+083                       |PM*|11 01 16.4063092792 +08 02 30.403057312|     ~|15.73 |14.33 |13.87 |     ~|M              |   3|   0
795 |2MASS J11010240-0030040            |RG*|11 01 02.376 -00 30 04.60              |     ~|     ~|10.1  |     ~|     ~|M              |   2|   0
796 |V* V400 Vel                        |Mi*|10 53 07.9344282794 -41 37 27.814186831|     ~|     ~|11.8  |     ~|     ~|Me             |   5|   0
797 |V* GN Vel                          |Mi?|10 55 31.0003646267 -41 23 32.886504439|     ~|     ~|     ~|     ~|     ~|Me             |   3|   0
798 |FIRST J111212.6+431015             |*  |11 12 12.69 +43 10 15.5                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
799 |IRAS 11049+3845                    |*  |11 07 44.8750346296 +38 29 15.950041578|     ~|12.21 |10.90 |     ~|     ~|M              |   2|   0
800 |CLS 35                             |PM*|11 11 27.4007542525 +32 37 12.243519149|     ~|16.55 |15.35 |15.07 |     ~|M              |   2|   1
801 |SOPS IV d-119                      |*  |11 10 29.7411519560 -42 19 33.561155140|     ~|14.75 |13.10 |13.98 | 9.67 |Me             |  10|   0
802 |2MASS J11153761+0008004            |RG*|11 15 37.6142727164 +00 08 00.550473284|     ~|14.24 |12.68 |12.18 |     ~|M              |   8|   0
803 |UCAC2 14392410                     |*  |11 19 19.5903995716 -40 38 13.436031411|     ~|     ~|     ~|15.16 |12.29 |MIII           |   1|   0
